# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	225745	226407	+	ACR40900.1			protein of unknown function DUF47			M164_0266	663	220	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	226396	227382	-							M164_0267	987		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	226396	227382	-	ACR40901.1			phosphate transporter			M164_0267	987	328	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	227342	227611	-							M164_0268	270		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	227342	227611	-	ACR40902.1			putative transcriptional regulator, CopG family			M164_0268	270	89	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	227740	229887	+							M164_0269	2148		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	227740	229887	+	ACR40903.1			DEAD/DEAH box helicase domain protein			M164_0269	2148	715	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	230024	231595	-							M164_0270	1572		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	230024	231595	-	ACR40904.1			carboxyl transferase			M164_0270	1572	523	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	231620	232129	-							M164_0271	510		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	231620	232129	-	ACR40905.1			biotin/lipoyl attachment domain-containing protein			M164_0271	510	169	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	232129	233661	-							M164_0272	1533		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	232129	233661	-	ACR40906.1			Carbamoyl-phosphate synthase L chain ATP-binding			M164_0272	1533	510	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	234086	235693	-							M164_0273	1608		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	234086	235693	-	ACR40907.1			binding-protein-dependent transport systems inner membrane component			M164_0273	1608	535	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	235686	236384	-							M164_0274	699		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	235686	236384	-	ACR40908.1			ABC transporter related			M164_0274	699	232	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	236526	236765	-							M164_0275	240		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	236526	236765	-	ACR40909.1			hypothetical protein			M164_0275	240	79	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	236799	237296	-							M164_0276	498		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	236799	237296	-	ACR40910.1			3-isopropylmalate dehydratase, small subunit			M164_0276	498	165	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	237297	238544	-							M164_0277	1248		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	237297	238544	-	ACR40911.1			3-isopropylmalate dehydratase			M164_0277	1248	415	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	238628	239929	-							M164_0278	1302		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	238628	239929	-	ACR40912.1			Deoxyribodipyrimidine photo-lyase			M164_0278	1302	433	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	240010	241848	+							M164_0279	1839		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	240010	241848	+	ACR40913.1			glycoside hydrolase 15-related			M164_0279	1839	612	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	241939	242334	+							M164_0280	396		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	241939	242334	+	ACR40914.1			transcriptional regulator, TrmB			M164_0280	396	131	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	242352	242639	-							M164_0281	288		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	242352	242639	-	ACR40915.1			conserved hypothetical protein			M164_0281	288	95	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	242787	243521	+							M164_0282	735		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	242787	243521	+	ACR40916.1			conserved hypothetical protein			M164_0282	735	244	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	243648	243842	+							M164_0283	195		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	243648	243842	+	ACR40917.1			membrane protein			M164_0283	195	64	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	243848	245365	+							M164_0284	1518		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	243848	245365	+	ACR40918.1			Na+/solute symporter			M164_0284	1518	505	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	245429	246172	+							M164_0285	744		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	245429	246172	+	ACR40919.1			Silent information regulator protein Sir2			M164_0285	744	247	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	246207	246407	+							M164_0286	201		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	246207	246407	+	ACR40920.1			hypothetical protein			M164_0286	201	66	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	246428	247141	-							M164_0287	714		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	246428	247141	-	ACR40921.1			Nucleotidyl transferase			M164_0287	714	237	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	247415	247531	+							M164_0288	117		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	247415	247531	+	ACR40922.1			conserved hypothetical protein			M164_0288	117	38	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	247637	248092	-							M164_0289	456		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	247637	248092	-	ACR40923.1			methylated-DNA--protein-cysteine methyltransferase			M164_0289	456	151	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	248130	249767	-							M164_0290	1638		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	248130	249767	-	ACR40924.1			threonyl-tRNA synthetase			M164_0290	1638	545	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	249819	250775	+							M164_0291	957		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	249819	250775	+	ACR40925.1			Oligosaccharide biosynthesis protein Alg14 like protein			M164_0291	957	318	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	250775	251458	+							M164_0292	684		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	250775	251458	+	ACR40926.1			HhH-GPD family protein			M164_0292	684	227	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	251543	252556	+							M164_0293	1014		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	251543	252556	+	ACR40927.1			Succinate--CoA ligase (ADP-forming)			M164_0293	1014	337	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	252622	253404	+							M164_0294	783		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	252622	253404	+	ACR40928.1			ATP-citrate lyase/succinyl-CoA ligase			M164_0294	783	260	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	253390	254439	-							M164_0295	1050		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	253390	254439	-	ACR40929.1			conserved hypothetical protein			M164_0295	1050	349	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	254670	255032	+							M164_0296	363		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	254670	255032	+	ACR40930.1			hypothetical protein			M164_0296	363	120	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	255016	255216	-							M164_0297	201		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	255016	255216	-	ACR40931.1			conserved hypothetical protein			M164_0297	201	66	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	255774	256523	+							M164_0298	750		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	255774	256523	+	ACR40932.1			sulfocyanin			M164_0298	750	249	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	256563	257327	+							M164_0299	765		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	256563	257327	+	ACR40933.1			conserved hypothetical protein			M164_0299	765	254	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	257371	258354	+							M164_0300	984		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	257371	258354	+	ACR40934.1			iron-containing alcohol dehydrogenase			M164_0300	984	327	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	258356	258799	+							M164_0301	444		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	258356	258799	+	ACR40935.1			conserved hypothetical protein			M164_0301	444	147	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	258825	259556	+							M164_0302	732		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	258825	259556	+	ACR40936.1			conserved hypothetical protein			M164_0302	732	243	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	259671	260588	+							M164_0303	918		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	259671	260588	+	ACR40937.1			Alpha/beta hydrolase fold-3 domain protein			M164_0303	918	305	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	260665	261675	+							M164_0304	1011		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	260665	261675	+	ACR40938.1			Alcohol dehydrogenase GroES domain protein			M164_0304	1011	336	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	261661	262848	-							M164_0305	1188		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	261661	262848	-	ACR40939.1			acetyl-CoA acetyltransferase			M164_0305	1188	395	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	262885	263784	-							M164_0306	900		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	262885	263784	-	ACR40940.1			acyl-CoA dehydrogenase domain protein			M164_0306	900	299	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	263789	264715	-							M164_0307	927		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	263789	264715	-	ACR40941.1			ribonucleotide reductase			M164_0307	927	308	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	264805	265563	-							M164_0308	759		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	264805	265563	-	ACR40942.1			short-chain dehydrogenase/reductase SDR			M164_0308	759	252	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	265598	266644	-							M164_0309	1047		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	265598	266644	-	ACR40943.1			Alcohol dehydrogenase GroES domain protein			M164_0309	1047	348	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	266927	267331	-							M164_0310	405		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	266927	267331	-	ACR40944.1			conserved hypothetical protein			M164_0310	405	134	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	267395	268786	-							M164_0311	1392		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	267395	268786	-	ACR40945.1			Vinylacetyl-CoA Delta-isomerase			M164_0311	1392	463	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	269196	269333	-							M164_2782	138		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	269196	269333	-	ACR40946.1			hypothetical protein			M164_2782	138	45	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	269581	271068	-							M164_0312	1488		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	269581	271068	-	ACR40947.1			major facilitator superfamily MFS_1			M164_0312	1488	495	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	271308	271913	+							M164_0313	606		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	271308	271913	+	ACR40948.1			transcriptional regulator, TetR family			M164_0313	606	201	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	271910	272353	-							M164_0314	444		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	271910	272353	-	ACR40949.1			conserved hypothetical protein			M164_0314	444	147	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	272444	273586	+							M164_0315	1143		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	272444	273586	+	ACR40950.1			acetyl-CoA C-acetyltransferase (acetoacetyl-CoAthiolase) (AcaB-6)			M164_0315	1143	380	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	273583	273939	+							M164_0316	357		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	273583	273939	+	ACR40951.1			protein of unknown function DUF35			M164_0316	357	118	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	274007	275677	+							M164_0317	1671		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	274007	275677	+	ACR40952.1			AMP-dependent synthetase and ligase			M164_0317	1671	556	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	275701	276813	+							M164_0318	1113		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	275701	276813	+	ACR40953.1			acyl-CoA dehydrogenase domain protein			M164_0318	1113	370	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	276840	278831	-							M164_0319	1992		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	276840	278831	-	ACR40954.1			3-hydroxyacyl-CoA dehydrogenase NAD-binding			M164_0319	1992	663	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	278913	279845	-							M164_0320	933		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	278913	279845	-	ACR40955.1			beta-lactamase domain protein			M164_0320	933	310	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	280054	281520	+							M164_0321	1467		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	280054	281520	+	ACR40956.1			major facilitator superfamily MFS_1			M164_0321	1467	488	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	281902	282132	+							M164_0322	231		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	281902	282132	+	ACR40957.1			carboxylesterase (est)			M164_0322	231	76	
gene	pseudogene	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	282339	282503	+							M164_0323	165		pseudo
gene	pseudogene	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	282490	283573	+							M164_0324	1084		pseudo
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	283616	284062	+							M164_0326	447		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	283616	284062	+	ACR40958.1			carboxylesterase (est)			M164_0326	447	148	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	284144	284560	+							M164_0327	417		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	284144	284560	+	ACR40959.1			hypothetical protein			M164_0327	417	138	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	284538	284693	+							M164_0328	156		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	284538	284693	+	ACR40960.1			hypothetical protein			M164_0328	156	51	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	284763	285683	-							M164_0329	921		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	284763	285683	-	ACR40961.1			beta-lactamase domain protein			M164_0329	921	306	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	285727	286680	+							M164_0330	954		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	285727	286680	+	ACR40962.1			fumarylacetoacetate (FAA) hydrolase			M164_0330	954	317	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	286674	287603	-							M164_0331	930		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	286674	287603	-	ACR40963.1			Alpha/beta hydrolase fold-3 domain protein			M164_0331	930	309	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	287637	288581	-							M164_0332	945		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	287637	288581	-	ACR40964.1			Aryldialkylphosphatase			M164_0332	945	314	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	288661	290343	+							M164_0333	1683		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	288661	290343	+	ACR40965.1			AMP-dependent synthetase and ligase			M164_0333	1683	560	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	290400	290843	-							M164_0334	444		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	290400	290843	-	ACR40966.1			carbon monoxide dehydrogenase subunit G			M164_0334	444	147	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	290847	292145	-							M164_0335	1299		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	290847	292145	-	ACR40967.1			FAD dependent oxidoreductase			M164_0335	1299	432	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	292328	292924	+							M164_0336	597		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	292328	292924	+	ACR40968.1			carbohydrate kinase FGGY			M164_0336	597	198	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	292895	293170	-							M164_0337	276		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	292895	293170	-	ACR40969.1			sugar transport related protein			M164_0337	276	91	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	293215	293526	-							M164_0338	312		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	293215	293526	-	ACR40970.1			hypothetical protein			M164_0338	312	103	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	293505	293855	+							M164_0339	351		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	293505	293855	+	ACR40971.1			hypothetical protein			M164_0339	351	116	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	293986	294858	-							M164_0340	873		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	293986	294858	-	ACR40972.1			ABC-2 type transporter			M164_0340	873	290	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	294855	295853	-							M164_0341	999		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	294855	295853	-	ACR40973.1			daunorubicin resistance ABC transporter ATPase subunit			M164_0341	999	332	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	295846	296253	-							M164_0342	408		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	295846	296253	-	ACR40974.1			transcriptional regulator, PadR-like family			M164_0342	408	135	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	296655	296882	+							M164_0343	228		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	296655	296882	+	ACR40975.1			conserved hypothetical protein			M164_0343	228	75	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	296934	297137	-							M164_0344	204		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	296934	297137	-	ACR40976.1			transposase ISC1058			M164_0344	204	67	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	297861	298355	-							M164_0345	495		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	297861	298355	-	ACR40977.1			thioesterase superfamily protein			M164_0345	495	164	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	298885	299058	+							M164_0346	174		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	298885	299058	+	ACR40978.1			partial transposase in ISC1190			M164_0346	174	57	
gene	pseudogene	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	299075	299589	-							M164_0347	515		pseudo
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	299552	300034	-							M164_0348	483		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	299552	300034	-	ACR40979.1			ORF1 in transposon ISC1048			M164_0348	483	160	
gene	pseudogene	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	300052	300686	-							M164_0349	635		pseudo
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	300992	301252	-							M164_0350	261		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	300992	301252	-	ACR40980.1			transposase ISC1225			M164_0350	261	86	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	301548	301919	-							M164_0351	372		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	301548	301919	-	ACR40981.1			DNA polymerase beta domain protein region			M164_0351	372	123	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	301900	302292	-							M164_0352	393		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	301900	302292	-	ACR40982.1			HEPN domain protein			M164_0352	393	130	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	302951	303109	+							M164_0353	159		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	302951	303109	+	ACR40983.1			conserved hypothetical protein			M164_0353	159	52	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	303420	303680	+							M164_0354	261		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	303420	303680	+	ACR40984.1			conserved hypothetical protein			M164_0354	261	86	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	303657	304058	-							M164_0355	402		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	303657	304058	-	ACR40985.1			conserved hypothetical selenoprotein			M164_0355	402	133	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	304403	305626	+							M164_0356	1224		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	304403	305626	+	ACR40986.1			FAD-dependent pyridine nucleotide-disulphideoxido reductase			M164_0356	1224	407	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	305875	306189	-							M164_0357	315		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	305875	306189	-	ACR40987.1			methyltransferase type 11			M164_0357	315	104	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	306306	307271	+							M164_0358	966		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	306306	307271	+	ACR40988.1			cellulase (endo 1,4 beta glucanase), putative (CelB)			M164_0358	966	321	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	307260	307673	-							M164_0359	414		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	307260	307673	-	ACR40989.1			protein of unknown function UPF0047			M164_0359	414	137	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	307715	307852	+							M164_0360	138		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	307715	307852	+	ACR40990.1			conserved hypothetical protein			M164_0360	138	45	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	308343	309137	+							M164_0361	795		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	308343	309137	+	ACR40991.1			transglutaminase domain protein			M164_0361	795	264	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	309352	309711	+							M164_0362	360		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	309352	309711	+	ACR40992.1			hypothetical protein			M164_0362	360	119	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	309949	310413	+							M164_0363	465		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	309949	310413	+	ACR40993.1			transcriptional regulator, AsnC family			M164_0363	465	154	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	310467	311483	-							M164_0364	1017		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	310467	311483	-	ACR40994.1			thiamine pyrophosphate protein domain protein TPP-binding			M164_0364	1017	338	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	311502	312749	-							M164_0365	1248		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	311502	312749	-	ACR40995.1			pyruvate flavodoxin/ferredoxin oxidoreductase domain protein			M164_0365	1248	415	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	312746	313837	-							M164_2843	1092		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	312746	313837	-	ACR40996.1			pyruvate ferredoxin, flavodoxin oxidoreductase, delta subunit			M164_2843	1092	363	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	314047	315339	-							M164_0367	1293		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	314047	315339	-	ACR40997.1			Oxalate/Formate Antiporter			M164_0367	1293	430	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	315747	317339	-							M164_0368	1593		
CDS	with_protein	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	315747	317339	-	ACR40998.1			L-lactate transport			M164_0368	1593	530	
gene	protein_coding	GCA_000022445.1	Primary Assembly	chromosome		CP001402.1	317841	318194	-							M164_0369	354		
